rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
127,1906,21621,1.085,16787,1.29,17.2,0.07,8.9,126.5,0.17,0.52,161,4,14,"{'tl_len': 110, 'vol_mult': 4.6, 'stop_mult': 0.8, 'act_R': 1.5, 'trail_frac': 2.0, 'buf_atr': 0.55, 'min_brk': 1.0, 'ema_len': 1460, 'atr_len': 80, 'regime_len': 85, 'cooldown_bars': 130, 'freeze_overnight': True, 'breakeven_R': 0.5}"
128,1850,106493,1.107,96786,1.1,33.1,0.072,8.8,122.8,0.29,0.65,802,6,12,"{'tl_len': 242, 'vol_mult': 2.3, 'stop_mult': 1.1, 'act_R': 2.5, 'trail_frac': 2.0, 'buf_atr': 0.05, 'min_brk': 1.8, 'ema_len': 220, 'atr_len': 56, 'regime_len': 15, 'cooldown_bars': 80, 'freeze_overnight': False, 'breakeven_R': 0.0}"
129,2226,32401,1.077,33900,0.96,23.9,0.059,8.7,147.8,0.2,0.5,249,4,17,"{'tl_len': 74, 'vol_mult': 4.1, 'stop_mult': 1.0, 'act_R': 2.0, 'trail_frac': 1.0, 'buf_atr': 0.05, 'min_brk': 1.0, 'ema_len': 1300, 'atr_len': 160, 'regime_len': 15, 'cooldown_bars': 150, 'freeze_overnight': True, 'breakeven_R': 3.0}"
130,1564,25730,1.11,18211,1.41,23.8,0.084,8.7,103.8,0.22,0.64,196,5,14,"{'tl_len': 114, 'vol_mult': 5.0, 'stop_mult': 0.6, 'act_R': 2.0, 'trail_frac': 1.5, 'buf_atr': 0.8, 'min_brk': 1.8, 'ema_len': 660, 'atr_len': 176, 'regime_len': 100, 'cooldown_bars': 165, 'freeze_overnight': False, 'breakeven_R': 2.5}"
131,1250,145391,1.168,59766,2.43,38.8,0.103,8.5,83.0,0.39,0.77,1132,5,14,"{'tl_len': 270, 'vol_mult': 3.3, 'stop_mult': 1.9, 'act_R': 3.0, 'trail_frac': 1.5, 'buf_atr': 0.3, 'min_brk': 1.0, 'ema_len': 300, 'atr_len': 44, 'regime_len': 10, 'cooldown_bars': 80, 'freeze_overnight': True, 'breakeven_R': 0.0}"
132,1193,47075,1.135,28409,1.66,21.5,0.106,8.4,79.2,0.24,0.59,373,6,16,"{'tl_len': 210, 'vol_mult': 4.6, 'stop_mult': 1.5, 'act_R': 1.0, 'trail_frac': 3.0, 'buf_atr': 0.65, 'min_brk': 1.8, 'ema_len': 1500, 'atr_len': 136, 'regime_len': 50, 'cooldown_bars': 80, 'freeze_overnight': True, 'breakeven_R': 1.0}"
133,984,66884,1.171,39920,1.68,25.2,0.128,8.4,65.3,0.23,0.71,530,3,12,"{'tl_len': 178, 'vol_mult': 4.8, 'stop_mult': 1.4, 'act_R': 3.0, 'trail_frac': 4.0, 'buf_atr': 0.95, 'min_brk': 1.8, 'ema_len': 1620, 'atr_len': 40, 'regime_len': 80, 'cooldown_bars': 115, 'freeze_overnight': False, 'breakeven_R': 0.0}"
134,4860,31287,1.035,37195,0.84,25.5,0.026,8.4,322.6,0.13,0.22,248,3,13,"{'tl_len': 82, 'vol_mult': 1.1, 'stop_mult': 1.9, 'act_R': 2.5, 'trail_frac': 1.0, 'buf_atr': 0.35, 'min_brk': 0.7, 'ema_len': 820, 'atr_len': 176, 'regime_len': 35, 'cooldown_bars': 170, 'freeze_overnight': False, 'breakeven_R': 1.0}"
135,2562,124839,1.109,45917,2.72,57.9,0.046,7.8,170.1,0.36,0.56,1060,5,14,"{'tl_len': 238, 'vol_mult': 1.2, 'stop_mult': 1.9, 'act_R': 1.5, 'trail_frac': 1.0, 'buf_atr': 0.2, 'min_brk': 0.0, 'ema_len': 1620, 'atr_len': 72, 'regime_len': 80, 'cooldown_bars': 15, 'freeze_overnight': False, 'breakeven_R': 2.0}"
136,2492,52767,1.064,49233,1.07,35.0,0.041,6.8,165.4,0.19,0.39,512,6,16,"{'tl_len': 66, 'vol_mult': 1.0, 'stop_mult': 1.8, 'act_R': 1.5, 'trail_frac': 2.0, 'buf_atr': 0.45, 'min_brk': 3.0, 'ema_len': 1420, 'atr_len': 68, 'regime_len': 45, 'cooldown_bars': 95, 'freeze_overnight': True, 'breakeven_R': 1.5}"
137,1490,33443,1.081,37087,0.9,15.1,0.069,6.8,98.9,0.16,0.4,327,4,16,"{'tl_len': 290, 'vol_mult': 4.0, 'stop_mult': 1.1, 'act_R': 0.5, 'trail_frac': 3.5, 'buf_atr': 0.35, 'min_brk': 1.7, 'ema_len': 300, 'atr_len': 64, 'regime_len': 20, 'cooldown_bars': 125, 'freeze_overnight': True, 'breakeven_R': 0.5}"
